time[ms],#packets last interval,#packets overall,overall avrg. packetsize [byte],overall sum packetsize [byte],overall thrp [Mb/s],thrp last interval [Mb/s]
2000.0,0,0,NaN,0.0,NaN,NaN
3000.0,401,401,1018.9551122194514,408601.0,3.268808,3.268808
4000.0,456,857,1027.5701754385964,877173.0,3.508692,3.7485759999999995
5000.0,429,1286,934.993006993007,1278285.0,3.40876,3.208896
6000.0,456,1742,1038.8399122807018,1751996.0,3.503992,3.789688
7000.0,461,2203,1025.2798264642083,2224650.0,3.55944,3.7812320000000006
8000.0,766,2969,984.8851174934725,2979072.0,3.972096,6.035376
9000.0,629,3598,1033.8139904610493,3629341.0,4.147818285714285,5.202152
10000.0,442,4040,989.1018099547512,4066524.0,4.066524,3.497464
11000.0,86,4126,960.9418604651163,4149165.0,3.6881466666666665,0.661128
12000.0,723,4849,1012.6071922544952,4881280.0,3.905024,5.85692
13000.0,542,5391,965.2527675276752,5404447.0,3.930506909090909,4.185336
14000.0,101,5492,1045.960396039604,5510089.0,3.6733926666666665,0.845136
15000.0,1433,6925,993.8674110258199,6934301.0,4.267262153846154,11.393696
16000.0,1732,8657,1003.7055427251732,8672719.0,4.955839428571428,13.907344
17000.0,33,8690,887.3333333333334,8702001.0,4.6410672,0.234256
18000.0,556,9246,975.4460431654676,9244349.0,4.6221745,4.338784
19000.0,470,9716,1012.0382978723404,9720007.0,4.574120941176471,3.805264
20000.0,496,10212,1016.1391129032259,1.0224012E7,4.544005333333334,4.03204
21000.0,1186,11398,983.3996627318718,1.1390324E7,4.7959258947368415,9.330496
22000.0,120,11518,969.275,1.1506637E7,4.6026548,0.930504
23000.0,905,12423,1006.6685082872929,1.2417672E7,4.730541714285714,7.28828
24000.0,106,12529,973.4811320754717,1.2520861E7,4.553040363636363,0.825512
25000.0,179,12708,975.9441340782123,1.2695555E7,4.415845217391305,1.397552
26000.0,795,13503,1020.5408805031446,1.3506885E7,4.502295,6.49064
27000.0,350,13853,1014.3485714285714,1.3861907E7,4.43581024,2.840176
28000.0,1082,14935,1003.0841035120147,1.4947244E7,4.599152,8.682696
29000.0,41,14976,761.829268292683,1.4978479E7,4.4380678518518515,0.24988
30000.0,327,15303,979.0183486238532,1.5298618E7,4.371033714285715,2.561112
31000.0,815,16118,986.9975460122699,1.6103021E7,4.442212689655173,6.435224
32000.0,246,16364,1043.2520325203252,1.6359661E7,4.362576266666666,2.05312
33000.0,137,16501,936.3065693430657,1.6487935E7,4.2549509677419355,1.026192
34000.0,844,17345,1009.0023696682465,1.7339533E7,4.33488325,6.812784
35000.0,552,17897,1018.0090579710145,1.7901474E7,4.3397512727272725,4.495528
36000.0,37,17934,807.3783783783783,1.7931347E7,4.219140470588235,0.238984
37000.0,2084,20018,992.2269673704415,1.9999148E7,4.571233828571429,16.542408
38000.0,82,20100,1014.2317073170732,2.0082315E7,4.462736666666667,0.665336
39000.0,232,20332,1071.146551724138,2.0330821E7,4.395853189189189,1.988048
40000.0,613,20945,1002.5040783034258,2.0945356E7,4.409548631578947,4.91628
41000.0,626,21571,985.926517571885,2.1562546E7,4.423086358974359,4.93752
42000.0,167,21738,1012.874251497006,2.1731696E7,4.3463392,1.3532
43000.0,1165,22903,1032.4652360515022,2.2934518E7,4.475027902439025,9.622576
44000.0,732,23635,988.8647540983607,2.3658367E7,4.5063556190476195,5.790792
45000.0,486,24121,994.4012345679013,2.4141646E7,4.491469023255814,3.866232
46000.0,459,24580,1029.8017429193899,2.4614325E7,4.475331818181818,3.7814319999999997
47000.0,823,25403,985.363304981774,2.5425279E7,4.520049600000001,6.487632
48000.0,543,25946,960.6850828729282,2.5946931E7,4.512509739130435,4.173216
49000.0,80,26026,1053.2125,2.6031188E7,4.430840510638298,0.674056
50000.0,507,26533,994.2465483234714,2.6535271E7,4.422545166666667,4.032664
51000.0,856,27389,970.7056074766355,2.7366195E7,4.467950204081633,6.647392
52000.0,297,27686,1003.1649831649831,2.7664135E7,4.426261599999999,2.38352
53000.0,998,28684,1011.12625250501,2.8673239E7,4.4977629803921575,8.072832
54000.0,521,29205,1017.767754318618,2.9203496E7,4.4928455384615384,4.242056
55000.0,253,29458,1012.2529644268775,2.9459596E7,4.446731471698114,2.0488
56000.0,443,29901,978.8713318284424,2.9893236E7,4.428627555555556,3.46912
57000.0,617,30518,992.7779578606159,3.050578E7,4.437204363636363,4.900352
58000.0,116,30634,1003.3448275862069,3.0622168E7,4.374595428571429,0.931104
59000.0,125,30759,948.32,3.0740708E7,4.314485333333333,0.94832
60000.0,1347,32106,976.5553080920564,3.2056128E7,4.421534896551725,10.52336
