time[ms],#packets last interval,#packets overall,overall avrg. packetsize [byte],overall sum packetsize [byte],overall thrp [Mb/s],thrp last interval [Mb/s]
2000.0,0,0,NaN,0.0,NaN,NaN
3000.0,86,86,1030.639534883721,88635.0,0.70908,0.70908
4000.0,72,158,989.5138888888889,159880.0,0.63952,0.56996
5000.0,58,216,1004.3275862068965,218131.0,0.5816826666666668,0.466008
6000.0,68,284,1083.4264705882354,291804.0,0.583608,0.589384
7000.0,81,365,939.8765432098766,367934.0,0.5886944000000001,0.60904
8000.0,39,404,1141.7179487179487,412461.0,0.549948,0.356216
9000.0,71,475,986.9718309859155,482536.0,0.5514697142857143,0.5606
10000.0,91,566,941.6923076923077,568230.0,0.56823,0.685552
11000.0,71,637,1061.6760563380283,643609.0,0.5720968888888889,0.6030320000000001
12000.0,74,711,936.9594594594595,712944.0,0.5703552,0.55468
13000.0,65,776,956.4461538461538,775113.0,0.5637185454545456,0.497352
14000.0,59,835,934.9661016949152,830276.0,0.5535173333333334,0.441304
15000.0,49,884,885.9591836734694,873688.0,0.5376541538461538,0.347296
16000.0,86,970,1021.0116279069767,961495.0,0.5494257142857143,0.702456
17000.0,43,1013,918.7441860465116,1001001.0,0.5338672000000001,0.316048
18000.0,54,1067,1063.462962962963,1058428.0,0.529214,0.45941600000000005
19000.0,80,1147,1054.0875,1142755.0,0.5377670588235294,0.674616
20000.0,70,1217,1008.6285714285714,1213359.0,0.5392706666666667,0.564832
21000.0,68,1285,986.0,1280407.0,0.5391187368421053,0.536384
22000.0,40,1325,1033.175,1321734.0,0.5286936,0.330616
23000.0,54,1379,920.8888888888889,1371462.0,0.5224617142857143,0.397824
24000.0,36,1415,959.1111111111111,1405990.0,0.5112690909090909,0.276224
25000.0,43,1458,981.3953488372093,1448190.0,0.5037182608695652,0.3376
26000.0,72,1530,918.6666666666666,1514334.0,0.504778,0.529152
27000.0,70,1600,963.5428571428571,1581782.0,0.50617024,0.539584
28000.0,55,1655,999.9818181818182,1636781.0,0.5036249230769231,0.439992
29000.0,61,1716,1037.983606557377,1700098.0,0.5037327407407407,0.506536
30000.0,68,1784,903.5147058823529,1761537.0,0.5032962857142858,0.491512
31000.0,66,1850,1048.3484848484848,1830728.0,0.5050284137931034,0.553528
32000.0,71,1921,1008.9154929577464,1902361.0,0.5072962666666667,0.573064
33000.0,66,1987,870.1969696969697,1959794.0,0.5057532903225807,0.459464
34000.0,41,2028,1011.7073170731708,2001274.0,0.5003185,0.33184
35000.0,51,2079,1027.2941176470588,2053666.0,0.49785842424242427,0.419136
36000.0,64,2143,1049.109375,2120809.0,0.49901388235294114,0.537144
37000.0,76,2219,1059.0657894736842,2201298.0,0.5031538285714285,0.643912
38000.0,76,2295,1137.9342105263158,2287781.0,0.5083957777777778,0.691864
39000.0,60,2355,1077.9,2352455.0,0.5086389189189189,0.5173920000000001
40000.0,103,2458,993.2330097087379,2454758.0,0.516791157894737,0.818424
41000.0,64,2522,1066.65625,2523024.0,0.5175433846153846,0.546128
42000.0,68,2590,1116.9705882352941,2598978.0,0.5197956,0.607632
43000.0,64,2654,1050.53125,2666212.0,0.5202364878048781,0.537872
44000.0,66,2720,1001.1060606060606,2732285.0,0.5204352380952381,0.528584
45000.0,76,2796,935.8947368421053,2803413.0,0.5215652093023255,0.569024
46000.0,78,2874,902.5769230769231,2873814.0,0.5225116363636364,0.563208
47000.0,73,2947,1069.9178082191781,2951918.0,0.5247854222222222,0.624832
48000.0,70,3017,1036.9142857142858,3024502.0,0.526000347826087,0.5806720000000001
49000.0,73,3090,1049.3013698630136,3101101.0,0.5278469787234042,0.612792
50000.0,71,3161,1016.5352112676056,3173275.0,0.5288791666666668,0.577392
51000.0,64,3225,1060.6875,3241159.0,0.5291688163265307,0.543072
52000.0,55,3280,967.8727272727273,3294392.0,0.52710272,0.425864
53000.0,38,3318,1027.2894736842106,3333429.0,0.5228908235294119,0.3122960000000001
54000.0,47,3365,970.4468085106383,3379040.0,0.5198523076923077,0.364888
55000.0,67,3432,988.4477611940298,3445266.0,0.5200401509433963,0.529808
56000.0,104,3536,978.9423076923077,3547076.0,0.5254927407407407,0.81448
57000.0,68,3604,975.7352941176471,3613426.0,0.5255892363636363,0.5308
58000.0,64,3668,928.609375,3672857.0,0.5246938571428572,0.475448
59000.0,103,3771,909.1747572815534,3766502.0,0.5286318596491228,0.74916
60000.0,76,3847,1034.5,3845124.0,0.5303619310344827,0.628976
